name,city,latitude,longitude,zipcode,ethnicity,price,rating
Jia Modern Chinese & Asian Lounge,Dallas,32.86495,-96.80474,75225,chinese,$$,4.0
Szechuan Chinese Restaurant,Dallas,32.81815,-96.81343,75219,chinese,$,4.0
Sum Dang Good Chinese,Dallas,32.779323,-96.828615,75212,chinese,N/A,4.0
Hello Dumpling,Dallas,32.83965,-96.69686,75218,chinese,$$,4.5
Monkey King Noodle Company,Dallas,32.7847371267706,-96.7810616584172,75226,chinese,$$,3.5
Monkey King Noodle Company,Dallas,32.86737385118247,-96.74154,75231,chinese,N/A,4.0
Royal China,Dallas,32.896104,-96.802183,75230,chinese,$$,3.5
Oec Tokyo,Dallas,32.821506,-96.85454,75235,chinese,N/A,4.5
Lover’s Egg Roll,Dallas,32.798496,-96.801462,75204,chinese,N/A,4.0
Chicken N Things,Dallas,32.76513671875,-96.7901840209961,75215,chinese,$,4.0
Seven Woks,Dallas,32.9158037309,-96.8174866667,75244,chinese,N/A,5.0
Blue Bamboo Chinese Wok,Dallas,32.911335,-96.7743424,75230,chinese,N/A,4.5
Kuai Asian Kitchen,Dallas,32.933419824674,-96.8208846822381,75240,chinese,$,4.5
Ming Place China Bistro,Dallas,32.82997,-96.82728,75209,chinese,$$,3.5
Royal Wok Chinese Restaurant,Dallas,32.89551,-96.89317,75229,chinese,$$,4.0
P.F. Chang's,Dallas,32.8668373,-96.7730731,75225,chinese,$$,3.0
Howard Wang's Uptown,Dallas,32.806756,-96.800604,75204,chinese,$$,3.5
Dong Bo Sung,Dallas,32.8972754192554,-96.8999915374371,75229,chinese,$$,4.0
Howard Wang's China Grill,Dallas,32.86463,-96.83591,75220,chinese,$$,3.0
China Kitchen,Dallas,32.870908,-96.7624934,75231,chinese,N/A,3.5
Hiep Phong BBQ,Dallas,32.91648,-96.70173,75243,chinese,N/A,3.5
Wok N Go,Dallas,32.8077004104853,-96.8723659962416,75247,chinese,$,3.0
