name,city,latitude,longitude,zipcode,ethnicity,price,rating
Asian Snack,indianapolis,39.8200464,-86.2283051,46222,chinese,$,4.5
Hong Kong China Restaurant,indianapolis,39.78768,-86.15994,46202,chinese,$,3.5
General Tso Inn,indianapolis,39.75824,-86.11496,46203,chinese,$,4.0
Fei Da,indianapolis,39.7881889,-86.2085876,46222,chinese,$,4.0
Asian Harbor,indianapolis,39.7741395235062,-86.16166703403,46204,chinese,$$,3.5
King Wok,indianapolis,39.8301252567118,-86.242169316008,46254,chinese,$,4.5
Taste Restaurant At Lucky Lou Seafood and Dimsum,indianapolis,39.8188374845563,-86.2270261838531,46222,chinese,$$,4.0
Oriental Inn,indianapolis,39.7873992919922,-86.0638961791992,46219,chinese,$$,4.0
What The Pho,indianapolis,39.886459,-86.210815,46268,chinese,$,4.0
Huong Sizzling Wok,indianapolis,39.83381,-86.24402,46254,chinese,$,4.0
Foon Ying Chinese Restaurant,indianapolis,39.825287,-86.046258,46226,chinese,$,4.0
Chuancai Fang,indianapolis,39.90634,-86.05989,46250,chinese,$$,4.0
House of Cheung,indianapolis,39.883535,-86.120765,46220,chinese,$$,4.5
China King II,indianapolis,39.82463,-86.15607,46205,chinese,$,3.5
Imperial Palace,indianapolis,39.85146,-86.26289,46254,chinese,$$,4.5
Dragon City,indianapolis,39.768253326416,-86.1040725708008,46201,chinese,$,4.0
Golden Wok,indianapolis,39.71598,-86.14851,46227,chinese,$,4.0
P.F. Chang's,indianapolis,39.7666047,-86.1595627,46204,chinese,$$,3.0
Asian Chao,indianapolis,39.7666172,-86.1617899,46204,chinese,$,3.5
Golden Chef,indianapolis,39.8535834710099,-86.0875108364193,46226,chinese,$,3.5
Happy Garden,indianapolis,39.7798072718196,-86.0950390968895,46201,chinese,$,3.0
Beijing Chinese Restaurant,indianapolis,39.797577,-86.02402,46219,chinese,$$,4.0
China One,indianapolis,39.7139411077417,-86.2348012608448,46221,chinese,$,4.0
Long Thanh Chinese and Vietnamese Food,indianapolis,39.8832251,-86.0714828,46220,chinese,$,4.0
China King,indianapolis,39.7695618,-86.1545792,46204,chinese,$,3.0
King's Wok,indianapolis,39.8238315,-86.242872,46254,chinese,$,4.0
