name,city,latitude,longitude,zipcode,ethnicity,price,rating
Chubby Cattle,Philadelphia,39.95498,-75.15622,19107,chinese,N/A,4.5
Nan Zhou Hand Drawn Noodle House,Philadelphia,39.9554005670665,-75.1569010985796,19107,chinese,$,4.0
Dim Sum Garden,Philadelphia,39.955399,-75.156727,19107,chinese,$,4.0
Dim Sum House,Philadelphia,39.9518854916096,-75.1724655926228,19103,chinese,$$,4.0
Dan Dan,Philadelphia,39.9502487182617,-75.167594909668,19102,chinese,$$,4.0
Sampan,Philadelphia,39.9495313759,-75.1621570259495,19107,chinese,$$,4.0
Han Dynasty,Philadelphia,39.9567105160991,-75.1971027810898,19104,chinese,$$,4.0
Bing Bing Dim Sum,Philadelphia,39.9289513,-75.164711,19148,chinese,$$,4.0
Jane G's Restaurant,Philadelphia,39.951841,-75.173328,19103,chinese,N/A,4.5
Han Dynasty,Philadelphia,39.9483978526255,-75.1435844420196,19106,chinese,$$,4.0
Lau Kee Restaurant,Philadelphia,39.95517,-75.15557,19107,chinese,N/A,4.5
Dim Sum House,Philadelphia,39.9557715,-75.2016544,19104,chinese,$$,4.0
Ting Wong Restaurant,Philadelphia,39.954754,-75.156191,19107,chinese,$,4.0
Nom Wah Philadelphia,Philadelphia,39.9565925598145,-75.160774230957,19107,chinese,$$,4.0
Sang Kee Peking Duck House,Philadelphia,39.95639,-75.15433,19107,chinese,$$,4.0
Buddakan,Philadelphia,39.9489186,-75.1471667,19106,chinese,$$$,4.0
Hong Qi Gong,Philadelphia,39.9544401036752,-75.1542798802257,19107,chinese,N/A,4.0
Dim Sum & Noodle,Philadelphia,39.96204,-75.17222,19130,chinese,$$,4.0
Nine Ting,Philadelphia,39.955083683693,-75.1552917273078,19107,chinese,$$,4.0
Heung Fa Chun Sweet House,Philadelphia,39.9539057451979,-75.1562611059858,19107,chinese,$,4.5
China House,Philadelphia,39.9185859,-75.1836863,19145,chinese,$,4.0
Chinese Restaurant,Philadelphia,39.9537811,-75.1563952,19107,chinese,$,4.5
Shaxian Delicacies,Philadelphia,39.9539055255682,-75.1563203707337,19107,chinese,N/A,3.5
Yummy Yummy,Philadelphia,39.9532362,-75.1565193,19107,chinese,$,4.0
Canto House,Philadelphia,39.95552,-75.15571,19107,chinese,N/A,4.0
Shiao Lan Kung,Philadelphia,39.955247076934,-75.1554087019259,19107,chinese,$$,3.5
Hok Heng,Philadelphia,39.9792,-75.16336,19121,chinese,N/A,4.5
David's Mai Lai Wah,Philadelphia,39.9554942500129,-75.1559746,19107,chinese,$$,3.0
Paradise Inn,Philadelphia,39.97407,-75.18127,19130,chinese,N/A,4.5
China House,Philadelphia,39.9786643981934,-75.1593627929688,19121,chinese,$,3.5
Taijiang Snackies,Philadelphia,39.9538131,-75.1563882,19107,chinese,$,4.5
Ocean Harmony,Philadelphia,39.95551,-75.15558,19107,chinese,$$,3.5
