name,city,latitude,longitude,zipcode,ethnicity,price,rating
A + Hong Kong Kitchen,Seattle,47.59854,-122.32652,98104,chinese,$,4.0
Din Tai Fung,Seattle,47.612517,-122.33541,98101,chinese,$$,4.0
Harbor City Restaurant,Seattle,47.59821,-122.32339,98104,chinese,$$,4.0
Dough Zone,Seattle,47.59788,-122.32749,98104,chinese,$$,4.0
19 GOLD,Seattle,47.651839,-122.350314,98103,chinese,$$,4.5
Biang Biang Noodles,Seattle,47.613937,-122.324239,98122,chinese,N/A,4.0
Qin Xi'an Noodles,Seattle,47.61488,-122.32839,98101,chinese,$$,4.0
Dough Zone,Seattle,47.61317,-122.33215,98101,chinese,$$,4.0
Mike's Noodle House,Seattle,47.59859,-122.32482,98104,chinese,$,4.0
Tyger Tyger,Seattle,47.623408,-122.354688,98109,chinese,N/A,4.5
Drunken Chicken,Seattle,47.660445,-122.336384,98103,chinese,N/A,4.5
Dumpling The Noodle,Seattle,47.661149,-122.336425,98103,chinese,N/A,4.5
Xi'an Noodles,Seattle,47.66815,-122.31319,98105,chinese,$,4.5
Haidilao Hot Pot,Seattle,47.6128391,-122.3351116,98101,chinese,N/A,4.5
Kau Kau Barbeque,Seattle,47.59847,-122.32471,98104,chinese,$$,4.0
Lionhead,Seattle,47.6248035549413,-122.320777901654,98102,chinese,$$,4.0
Din Tai Fung,Seattle,47.66164,-122.29921,98105,chinese,$$,4.0
Chengdu Taste 滋味成都,Seattle,47.598064,-122.327511,98104,chinese,N/A,4.5
Chengdu Memory,Seattle,47.599369,-122.326621,98104,chinese,N/A,4.0
King Noodle,Seattle,47.5982,-122.32551,98104,chinese,$,4.0
Wild Ginger,Seattle,47.6174752,-122.3392648,98121,chinese,$$,4.0
Sichuanese Cuisine,Seattle,47.599516,-122.317527,98104,chinese,$$,4.0
Gourmet Noodle Bowl,Seattle,47.596333913119665,-122.32275364110458,98104,chinese,$$,4.0
Jade Garden,Seattle,47.5985020713873,-122.323515415192,98104,chinese,$$,3.5
Pacific Cafe Hong Kong Kitchen,Seattle,47.59865,-122.32749,98104,chinese,$,4.0
Mee Sum Pastry,Seattle,47.6091726957566,-122.341359799475,98101,chinese,$,4.0
Little Chengdu,Seattle,47.57471,-122.29583,98144,chinese,$$,4.0
Magic Dragon,Seattle,47.63546,-122.37703,98119,chinese,$,4.0
Little Duck,Seattle,47.65707,-122.31748,98105,chinese,$$,4.0
LuoSiFen,Seattle,47.598595,-122.32716833,98104,chinese,N/A,4.0
Mei Mei Cafe,Seattle,47.66529,-122.31705,98105,chinese,N/A,4.5
Tai Tung Chinese Restaurant,Seattle,47.5982,-122.32469,98104,chinese,$$,4.0
Sizzling Pot King,Seattle,47.5985,-122.32445,98104,chinese,N/A,4.0
Plenty of Clouds,Seattle,47.6151976358352,-122.312686271692,98122,chinese,$$,4.0
Xiao Chi Jie,Seattle,47.612736,-122.1984325,98004,chinese,$$,4.0
Hue Ky Mi Gia,Seattle,47.5990692269986,-122.316223301189,98144,chinese,$,4.0
Regent Bakery & Cafe,Seattle,47.615436,-122.314095,98122,chinese,$$,4.0
Indo Chinese Wok,Seattle,47.6157331399051,-122.336643785897,98121,chinese,N/A,4.0
Ton Kiang Barbeque Noodle House,Seattle,47.59763,-122.32415,98104,chinese,$,4.0
H Bistro,Seattle,47.597758,-122.326034,98104,chinese,$$,4.0
Mount&Bao,Seattle,47.72025,-122.29423,98125,chinese,$$,4.0
Szechuan Noodle Bowl,Seattle,47.59857,-122.32222,98104,chinese,$,4.0
Xi’an Noodles,Seattle,47.61188,-122.33729,98101,chinese,$$,3.5
Taste of Xi'an,Seattle,47.66196,-122.31345,98105,chinese,$$,4.0
Hong Kong Bistro,Seattle,47.59801,-122.32543,98104,chinese,$$,3.5
Tian Fu,Seattle,47.7091,-122.32465,98125,chinese,$$,4.5
Homestyle Dim Sum,Seattle,47.5976300583,-122.324270122,98104,chinese,N/A,3.5
Dim Sum King,Seattle,47.59895,-122.3256,98104,chinese,$,3.5
Spring Roll House-Deli,Seattle,47.5999159387607,-122.316120871164,98144,chinese,$,4.5
Six Pack Foods,Seattle,47.665036,-122.312812,98105,chinese,$$,4.5
No.9 Alley Hot Pot,Seattle,47.72356,-122.34713,98133,chinese,$$,4.5
Fortune Garden,Seattle,47.598489,-122.324868,98104,chinese,$$,4.0
Fortuna Cafe 2.0,Seattle,47.59822,-122.32317,98104,chinese,$,4.5
Rainier Restaurant,Seattle,47.5452983,-122.2850226,98118,chinese,$$,4.0
Okinawa Teriyaki,Seattle,47.60535,-122.3381,98101,chinese,$,4.0
Din Tai Fung,Seattle,47.617195,-122.20059,98004,chinese,$$,4.0
Panda Noodle Bar,Seattle,47.661623,-122.312793,98105,chinese,N/A,4.5
Honey Court Seafood Restaurant,Seattle,47.5978,-122.32484,98104,chinese,$$,3.5
Teriyaki Seven,Seattle,47.6233,-122.29603,98112,chinese,$,4.0
Northwest Tofu,Seattle,47.59913,-122.30698,98144,chinese,$$,3.5
China Harbor Restaurant,Seattle,47.637396,-122.3399,98109,chinese,N/A,3.0
Ikiiki,Seattle,47.63855,-122.35634,98109,chinese,$$,4.0
SpiceUp Szechuan Cuisine,Seattle,47.614831,-122.344332,98121,chinese,$$,3.5
Ping's Dumpling House,Seattle,47.5985129234165,-122.327318787575,98104,chinese,$,3.5
Golden Daisy Restaurant,Seattle,47.5805,-122.31305,98144,chinese,$,4.0
Facing East,Seattle,47.619749,-122.202793,98004,chinese,$$,4.0
Teriyaki & Wok,Seattle,47.6218215030362,-122.320554256439,98102,chinese,$,4.0
The Dolar Shop,Seattle,47.61572,-122.19318,98004,chinese,$$$,4.0
HardWok Cafe,Seattle,47.5990517655849,-122.316713458336,98144,chinese,$,3.5
Mi La Cay,Seattle,47.60042,-122.31683,98144,chinese,$,4.0
Chef Liao Asian Fusion Cuisine,Seattle,47.67299,-122.35418,98103,chinese,$$,4.0
Palmi Korean Cuisine & Teriyaki,Seattle,47.65028,-122.34959,98103,chinese,N/A,4.0
Green Tree,Seattle,47.692217,-122.355083,98103,chinese,$$,4.5
Chopsticks Cuisine,Seattle,47.682717,-122.290897,98115,chinese,$$,4.0
Chef King,Seattle,47.6903854,-122.357799,98103,chinese,N/A,4.0
Sheng Yan Restaurant,Seattle,47.5995,-122.32033,98104,chinese,N/A,2.5
YS Street Food Group,Seattle,47.6062095,-122.3320708,98004,chinese,N/A,4.0
Magic Dragon,Seattle,47.6000595,-122.3019867,98144,chinese,$,3.0
Henry's Taiwan Kitchen,Seattle,47.6568856156391,-122.314342666277,98105,chinese,$$,3.0
Purple Dot Cafe,Seattle,47.59785,-122.32544,98104,chinese,$$,3.0
Dalongyi Hot Pot 大龙燚火锅,Seattle,47.68026,-122.32493,98115,chinese,N/A,3.0
Vietnam House,Seattle,47.5997548913384,-122.317772480613,98104,chinese,$$,3.5
Ho Ho Seafood Restaurant,Seattle,47.59736,-122.32484,98104,chinese,$$,3.5
Wow Bao,Seattle,47.651798,-122.350337,98103,chinese,N/A,2.0
Uptown China Restaurant,Seattle,47.61995,-122.3565613,98109,chinese,$$,3.5
Mee Sum,Seattle,47.66105,-122.313376,98105,chinese,$$,3.5
Julie's Garden,Seattle,47.601566,-122.3351543,98104,chinese,$,4.0
Sichuan Hot Pot,Seattle,47.6643,-122.31557,98105,chinese,$$,3.5
Red Pepper,Seattle,47.6626122,-122.313306257129,98105,chinese,$$,3.5
Joyale Seafood Restaurant,Seattle,47.5995,-122.32033,98104,chinese,$$,3.5
Fu Shen,Seattle,47.69473,-122.34492,98103,chinese,$$,4.0
TERIKING,Seattle,47.62601,-122.345797,98109,chinese,N/A,3.5
Kigo Kitchen,Seattle,47.6015,-122.3346,98104,chinese,$$,3.5
Din Tai Fung,Seattle,47.5914025532582,-122.332508526742,98134,chinese,$$,3.0
Mr. Bian Dumpling,Seattle,47.66015,-122.3134,98105,chinese,N/A,3.5
Shandong Bao House,Seattle,47.7027,-122.34249,98133,chinese,N/A,3.0
Dumplings of Fury,Seattle,47.56305,-122.38709,98116,chinese,$$,3.5
Uncle Lee's,Seattle,47.6682018,-122.2769779,98105,chinese,$$,3.5
Shodai Teriyaki,Seattle,47.6122666,-122.2964449,98122,chinese,$,3.5
Lucky Chinese Restaurant,Seattle,47.55081,-122.32995,98108,chinese,$,4.0
Canton Noodle House,Seattle,47.54711,-122.28498,98118,chinese,$,4.0
663 Bistro,Seattle,47.59737,-122.32449,98104,chinese,$,3.0
Buerjia Chinese Sauerkraut Fish,Seattle,47.725016,-122.343557,98133,chinese,N/A,3.5
King's Barbeque House,Seattle,47.59779,-122.32601,98104,chinese,$,3.5
Beacon B.B.Q.,Seattle,47.55851,-122.30366,98108,chinese,$,3.5
Snappy Dragon,Seattle,47.693703,-122.317879,98115,chinese,$$,3.5
Zen Noodle & Cafe,Seattle,47.66236,-122.31343,98105,chinese,$,3.5
Yummy Café,Seattle,47.6686782836914,-122.284225463867,98105,chinese,$$,3.5
Qian Noodles,Seattle,47.7269771824906,-122.344058217197,98133,chinese,$$,4.0
Shanghai Garden,Seattle,47.59766,-122.3262,98104,chinese,$$,3.5
Tiger Garden,Seattle,47.584757,-122.234071,98040,chinese,$$,3.5
Chinese Food Town,Seattle,47.62224,-122.32064,98102,chinese,N/A,3.5
DL BBQ,Seattle,47.662016,-122.312922,98105,chinese,N/A,3.0
Din Tai Fung,Seattle,47.5914025532582,-122.332508526742,98134,chinese,$$,3.0
Gim Wah Restaurant,Seattle,47.6397,-122.40196,98199,chinese,$,3.0
University Kitchen,Seattle,47.6571884155273,-122.31290435791,98105,chinese,$,2.5
Jasmine's Grill & Bar,Seattle,47.5989179,-122.3177822,98104,chinese,$$,3.0
Eggy Pocket,Seattle,47.6127543,-122.1984971,98004,chinese,N/A,3.5
Seven Stars Pepper Szechuan Restaurant,Seattle,47.599074,-122.31691,98144,chinese,$$,3.5
Chiang's Gourmet Restaurant,Seattle,47.6864318847656,-122.314178466797,98115,chinese,$$,3.5
Genghis Khan Restaurant,Seattle,47.609954,-122.3420987,98101,chinese,$$,3.0
Wok,Seattle,47.621477,-122.350822,98109,chinese,$$,3.0
New China Express,Seattle,47.64518117682651,-122.38318464292172,98199,chinese,$$,3.5
Peony Kitchen,Seattle,47.6099294,-122.202827,98004,chinese,$$,3.5
Panda Master,Seattle,47.66174,-122.31807,98105,chinese,N/A,3.0
Chinatown Cafe 12,Seattle,47.57894,-122.31287,98144,chinese,N/A,5.0
Lee's Asian Restaurant,Seattle,47.5625121,-122.386614,98116,chinese,$$,4.0
Bamboo Village Restaurant,Seattle,47.6645,-122.34026,98103,chinese,$$,3.5
HK Dim Sum,Seattle,47.7250299,-122.3436,98133,chinese,$$,3.0
Orient Express,Seattle,47.57588,-122.32957,98134,chinese,$$,3.0
Othello Wok and Teriyaki,Seattle,47.5364031915525,-122.280449143148,98118,chinese,$$,4.0
Wok's Teriyaki,Seattle,47.54574,-122.32585,98108,chinese,$,4.0
China First,Seattle,47.6594399,-122.3135,98105,chinese,$,2.5
Golden City,Seattle,47.66922,-122.38189,98107,chinese,$,3.0
New Teriyaki & Wok,Seattle,47.5437508,-122.3867569,98136,chinese,$,4.0
Joy Palace Seafood Restaurant,Seattle,47.5475871251774,-122.285109464279,98118,chinese,$$,3.5
Ballard Mandarin,Seattle,47.6689262390137,-122.365928649902,98107,chinese,$$,3.5
Dim Sum House,Seattle,47.5591,-122.30399,98108,chinese,$,3.5
Nori Presto,Seattle,47.7191619873047,-122.31224822998,98125,chinese,$,4.0
Hui Lau Shan,Seattle,47.6127425,-122.1986127,98004,chinese,$,4.0
Olympic Express,Seattle,47.5385398864746,-122.282829284668,98118,chinese,$$,4.0
New Star Seafood Restaurant,Seattle,47.59937,-122.32682,98104,chinese,$$,3.5
Zhang Liang Malatang,Seattle,47.61279,-122.19972,98004,chinese,N/A,3.0
Inchin's Bamboo Garden,Seattle,47.61585,-122.19688,98004,chinese,$$,3.5
Me+Crêpe,Seattle,47.6151987,-122.2039743,98004,chinese,$$,3.5
A Bite of Sichuan,Seattle,47.6766,-122.20783,98033,chinese,$$,4.0
Baron's Sino Kitchen & Bar,Seattle,47.614979,-122.201034,98004,chinese,$$$,3.5
Spicy Talk Bistro,Seattle,47.7085844623202,-122.184630120218,98034,chinese,$$,4.0
Ichi Roll Wok & Teriyaki,Seattle,47.7196259,-122.3550829,98133,chinese,$$,4.0
Asia Ginger Teriyaki & Roll,Seattle,47.5665894,-122.3300476,98134,chinese,$,3.5
Ocean Star,Seattle,47.5972228178365,-122.323961089367,98104,chinese,$$,3.0
Pike Place Chinese Cuisine,Seattle,47.6090470701456,-122.341246157885,98101,chinese,$$,3.0
Foo Lam Chinese Restaurant,Seattle,47.538294324252,-122.283045964557,98118,chinese,$$,3.0
La Bu La,Seattle,47.61269,-122.198403,98004,chinese,$$,3.0
Dumpling & Noodle,Seattle,47.619421,-122.193222,98004,chinese,$$,3.5
JB Garden,Seattle,47.70486,-122.35506,98133,chinese,$,3.5
Magic Dragon,Seattle,47.56922,-122.28983,98118,chinese,$$,3.5
Asia Bar-B-Que,Seattle,47.59901,-122.32469,98104,chinese,$$,3.5
Yen Wor Village,Seattle,47.58283,-122.38617,98116,chinese,$$,2.5
New Mandarin Gate,Seattle,47.70165,-122.34404,98133,chinese,$$,3.0
Beijing O'Chef,Seattle,47.67652,-122.20474,98033,chinese,$$,3.5
New Luck Toy,Seattle,47.5501141746467,-122.387253784477,98136,chinese,$$,3.5
Jade Restaurant & Lounge,Seattle,47.6937141418457,-122.344192504883,98103,chinese,$$,3.0
Shanghai Shanghai,Seattle,47.619106,-122.1913479,98004,chinese,$$,3.0
Taste of Asia,Seattle,47.6102714538574,-122.337501525879,98101,chinese,$,3.5
Rickshaw Restaurant,Seattle,47.70527,-122.35448,98133,chinese,$$,3.0
P.F. Chang's,Seattle,47.616796,-122.202051,98004,chinese,$$,2.5
Panda Express,Seattle,47.70192,-122.36369,98117,chinese,$,3.0
Asian Express,Seattle,47.60452,-122.3306335,98104,chinese,$,3.0
Mó Pockets,Seattle,47.61585,-122.19688,98004,chinese,$$,3.5
Great China Restaurant,Seattle,47.72152,-122.20834,98034,chinese,$$,4.0
China Dragon,Seattle,47.70267,-122.3448907,98133,chinese,$,2.0
Emerald Garden,Seattle,47.706711,-122.209764,98034,chinese,$,3.5
BC Zhang,Seattle,47.66779,-122.37908,98107,chinese,N/A,3.0
Asian Street Food,Seattle,47.55177,-122.36272,98106,chinese,N/A,3.0
Teriyaki Madness,Seattle,47.666923,-122.198305,98033,chinese,$,3.5
Noodle Zen,Seattle,47.59736,-122.32707,98104,chinese,$,2.5
Panda Express,Seattle,47.71975,-122.29523,98125,chinese,$,3.0
Fresh N More,Seattle,47.6175814,-122.2001491,98004,chinese,N/A,4.0
Panda Express,Seattle,47.61698,-122.20509,98004,chinese,$$,2.5
Le Coin,Seattle,47.65784,-122.3503,98103,french,$$,4.5
iconiq,Seattle,47.58966,-122.29267,98144,french,$$$,4.5
Bateau,Seattle,47.6130649,-122.3187292,98122,french,$$$$,4.0
Café Presse,Seattle,47.6120529174805,-122.317108154297,98122,french,$$,4.0
Loulay Kitchen & Bar,Seattle,47.61085,-122.33318,98101,french,$$$,4.0
L'Oursin,Seattle,47.60601,-122.31473,98122,french,$$$,4.0
Café Campagne,Seattle,47.60975,-122.34143,98101,french,$$,4.0
Red Cow,Seattle,47.6135963,-122.2892844,98122,french,$$$,4.0
Marmite,Seattle,47.61371,-122.31773,98122,french,$$$,3.5
Luc,Seattle,47.623691,-122.296312,98112,french,$$,4.0
Voila! Bistrot,Seattle,47.62352,-122.29587,98112,french,$$,4.0
Copine,Seattle,47.67579,-122.38729,98107,french,$$$,4.5
Place Pigalle,Seattle,47.60831,-122.34081,98101,french,$$$,4.0
The Zouave Restaurant,Seattle,47.6756232,-122.29875,98115,french,$$,4.5
Le Caviste,Seattle,47.6145686,-122.3366618,98101,french,$$,4.5
The Whale Wins,Seattle,47.64962,-122.3424,98103,french,$$$,3.5
Le Pichet,Seattle,47.6107,-122.34259,98101,french,$$,4.0
Feast,Seattle,47.675949,-122.20604,98033,french,$$$,4.5
Nell's Restaurant,Seattle,47.67814,-122.32785,98115,french,$$$,4.0
Pair,Seattle,47.6686789872273,-122.294944967567,98105,french,$$,4.0
Gainsbourg,Seattle,47.6914078,-122.3551629,98103,french,$$,4.0
Can Can,Seattle,47.60888,-122.34036,98101,french,$$,4.0
Bistro Shirlee,Seattle,47.6613369,-122.288881983806,98105,french,N/A,3.0
Bottle & Bull,Seattle,47.6752022,-122.2066184,98033,french,$$$,4.0
Maximilien,Seattle,47.60831,-122.34081,98101,french,$$$,3.5
Roquette,Seattle,47.613434,-122.346125,98121,french,$$,4.5
RN74 Seattle,Seattle,47.60997,-122.33681,98101,french,$$$,4.0
Georgian Restaurant,Seattle,47.608094,-122.333973,98101,french,$$$,4.0
Café Besalu,Seattle,47.671821301106,-122.38782088382,98107,french,$,4.5
Crepe Cafe & Wine Bar,Seattle,47.67591,-122.3043,98115,french,$$,4.0
Alhadeff Grill & Cafe Alki,Seattle,47.54723,-122.35192,98106,french,N/A,5.0
Amazing Food Co.,Seattle,47.55177,-122.36272,98106,french,N/A,5.0
Lilac Cafe,Seattle,47.677203234847,-122.205421806537,98033,french,$$,4.5
Le Grand Bistro Américain,Seattle,47.656268,-122.207288,98033,french,$$,3.5
L'Experience Paris,Seattle,47.5833,-122.23271,98040,french,N/A,4.0
Lynn's Bistro,Seattle,47.677479,-122.205358,98033,french,$$$,4.5
Cepae,Seattle,47.612235,-122.1985982,98004,french,$$,4.5
Lola,Seattle,47.6132519777742,-122.340060726984,98121,greek,$$,4.0
The Golden Olive,Seattle,47.6239613,-122.3570864,98109,greek,$,4.5
Mint & Olives,Seattle,47.624747,-122.357283,98119,greek,N/A,5.0
Al Bacha Restaurant,Seattle,47.6186249211818,-122.321042440631,98122,greek,$$,4.5
Petra Bistro,Seattle,47.61669,-122.34653,98121,greek,$$,4.0
Mykonos Greek Grill,Seattle,47.68056,-122.32531,98115,greek,$$,4.5
Vios Cafe,Seattle,47.627063848557,-122.307532880951,98112,greek,$$,4.0
Nikos Gyros,Seattle,47.5787166630166,-122.311151102185,98144,greek,$$,4.5
Gorgeous George's Mediterranean Kitchen,Seattle,47.68533,-122.35554,98103,greek,$$,4.5
Niko's Gyros,Seattle,47.63925,-122.39851,98199,greek,$,4.5
OMEGA OUZERI,Seattle,47.6149521,-122.3143814,98122,greek,$$$,4.0
Mr Gyros - Seattle,Seattle,47.6614256338781,-122.325863408599,98105,greek,$,4.5
Voula's Offshore Cafe,Seattle,47.65476,-122.32155,98105,greek,$$,4.0
Theo's Gyros,Seattle,47.6035690307617,-122.329452514648,98101,greek,N/A,4.5
