name,city,latitude,longitude,zipcode,ethnicity,price,rating
Chubby Cattle,Philadelphia,39.95498,-75.15622,19107,chinese,N/A,4.5
Nan Zhou Hand Drawn Noodle House,Philadelphia,39.9554005670665,-75.1569010985796,19107,chinese,$,4.0
Dim Sum Garden,Philadelphia,39.955399,-75.156727,19107,chinese,$,4.0
Dim Sum House,Philadelphia,39.9518854916096,-75.1724655926228,19103,chinese,$$,4.0
Dan Dan,Philadelphia,39.9502487182617,-75.167594909668,19102,chinese,$$,4.0
Sampan,Philadelphia,39.9495313759,-75.1621570259495,19107,chinese,$$,4.0
Han Dynasty,Philadelphia,39.9567105160991,-75.1971027810898,19104,chinese,$$,4.0
Jane G's Restaurant,Philadelphia,39.951841,-75.173328,19103,chinese,N/A,4.5
Bing Bing Dim Sum,Philadelphia,39.9289513,-75.164711,19148,chinese,$$,4.0
Lau Kee Restaurant,Philadelphia,39.95517,-75.15557,19107,chinese,N/A,4.5
Dim Sum House,Philadelphia,39.9557715,-75.2016544,19104,chinese,$$,4.0
Han Dynasty,Philadelphia,39.9483978526255,-75.1435844420196,19106,chinese,$$,4.0
Ting Wong Restaurant,Philadelphia,39.954754,-75.156191,19107,chinese,$,4.0
Buddakan,Philadelphia,39.9489186,-75.1471667,19106,chinese,$$$,4.0
Hong Qi Gong,Philadelphia,39.9544401036752,-75.1542798802257,19107,chinese,N/A,4.0
Nine Ting,Philadelphia,39.955083683693,-75.1552917273078,19107,chinese,$$,4.0
Heung Fa Chun Sweet House,Philadelphia,39.9539057451979,-75.1562611059858,19107,chinese,$,4.5
Nom Wah Philadelphia,Philadelphia,39.9565925598145,-75.160774230957,19107,chinese,$$,4.0
Sang Kee Peking Duck House,Philadelphia,39.95639,-75.15433,19107,chinese,$$,4.0
Shang Hai 1,Philadelphia,39.9541205693138,-75.1560343422407,19107,chinese,$$,4.0
Dim Sum & Noodle,Philadelphia,39.96204,-75.17222,19130,chinese,$$,4.0
E Mei Restaurant,Philadelphia,39.95373,-75.15539,19107,chinese,$$,4.0
Happy Lamb Hot Pot,Philadelphia,39.95372,-75.15651,19107,chinese,$$,4.0
M Kee,Philadelphia,39.955231,-75.15612,19107,chinese,$,4.0
TT Skewer,Philadelphia,39.95639,-75.15709,19107,chinese,$,4.5
Unit Su Vege,Philadelphia,39.96204,-75.17222,19130,chinese,$$,4.5
Bai Wei,Philadelphia,39.9554281843515,-75.1565556577565,19107,chinese,$$,4.0
Ho Sai Gai Restaurant,Philadelphia,39.9552230834961,-75.1560592651367,19107,chinese,$$,4.0
Shi Miao Dao Yunnan Rice Noodle,Philadelphia,39.955318,-75.154557,19107,chinese,$$,4.0
Chengdu Famous Food,Philadelphia,39.9591840099014,-75.194573333305,19104,chinese,$$,4.0
Dim Sum Factory - Philadelphia,Philadelphia,39.948893,-75.162444,19107,chinese,N/A,4.5
