,name,city,latitude,longitude,zipcode,ethnicity,price,rating
0,Bao Bun Hibachi,Atlanta,33.80116,-84.4147,30318,chinese,$,4.5
1,Little Bangkok,Atlanta,33.81593,-84.35219,30324,chinese,$$,4.0
2,Urban Wu,Atlanta,33.84671,-84.374065,30305,chinese,$$,4.0
3,Food Terminal,Atlanta,33.778829,-84.410034,30318,chinese,$$,4.5
4,Hibachi Buffet,Atlanta,33.841328,-84.327574,30329,chinese,$,4.5
5,Hsu's Atlanta,Atlanta,33.7595475225047,-84.3862326588608,30303,chinese,$$,4.0
6,Nova Sushi Bar & Asian Bistro,Atlanta,33.85299,-84.35853,30319,chinese,$$,4.0
7,Gu’s Kitchen,Atlanta,33.88443,-84.28765,30341,chinese,$$,4.0
8,Hai,Atlanta,33.792031,-84.286616,30033,chinese,$$,4.0
9,Jia,Atlanta,33.772372216316,-84.3658345460327,30308,chinese,$$,3.0
10,Kong's Kitchen,Atlanta,33.7976904,-84.3687105,30324,chinese,N/A,3.0
11,Chai Peking,Atlanta,33.815615,-84.313734,30329,chinese,$$,4.0
12,Sho Spicy,Atlanta,33.88946,-84.38167,30342,chinese,N/A,4.5
13,Lucky Thai,Atlanta,33.82799,-84.32658,30329,chinese,$$,4.5
14,Grand China Restaurant,Atlanta,33.8362756,-84.3817358,30305,chinese,$$,4.0
15,La Mei Zi,Atlanta,33.8927899012153,-84.2862031236291,30340,chinese,$$,4.5
16,Fortune Cookie,Atlanta,33.8265773256013,-84.33346297055229,30329,chinese,$$,3.5
17,J-Bistro,Atlanta,33.908047,-84.288187,30360,chinese,N/A,4.5
18,Hot Melody 煮烤官,Atlanta,33.8963309644377,-84.2811899999284,30340,chinese,N/A,4.0
19,Su's Chinese Cuisine,Atlanta,33.7963896243025,-84.371042422091,30324,chinese,$$,3.0
20,Gu's Dumplings,Atlanta,33.7567055924841,-84.3641988024076,30307,chinese,$$,3.5
21,Mamak,Atlanta,33.8934542170406,-84.2847600951791,30340,chinese,$$,4.0
22,Canton Buddha,Atlanta,33.8343211937348,-84.3836943412782,30305,chinese,$$,3.0
23,China Breeze,Atlanta,33.7528351,-84.3910083,30303,chinese,N/A,3.5
24,Chong Qing Hot Pot,Atlanta,33.890609,-84.299608,30341,chinese,$,4.5
25,Malaya,Atlanta,33.81025,-84.4161,30318,chinese,$$,3.5
26,LanZhou Ramen,Atlanta,33.8948178851,-84.2821337016,30340,chinese,$,4.0
27,The Orient,Atlanta,33.9055465,-84.4632755,30339,chinese,N/A,4.0
28,Tin Drum Asian Kitchen - Lindbergh Plaza,Atlanta,33.82569086,-84.36484507,30324,chinese,$,3.0
29,Panda Express,Atlanta,33.774016,-84.398895,30332,chinese,$,3.5
30,Good Harvest,Atlanta,33.892644,-84.284999,30340,chinese,N/A,4.0
31,Hot Duck,Atlanta,33.907889,-84.288139,30341,chinese,N/A,1.0
32,Golden Buddha Restaurant,Atlanta,33.81021,-84.30851,30033,chinese,$$,3.5
33,Chico and Chang,Atlanta,33.74066,-84.35842,30316,chinese,$$,3.5
34,Chin Chin - Howell Mill,Atlanta,33.8012432677404,-84.4134847458484,30318,chinese,$$,3.5
35,Phoenix and Dragon Chinese,Atlanta,33.8779296875,-84.3814468383789,30342,chinese,$$,1.5
36,J's Mini Hotpot Deluxe,Atlanta,33.8847048,-84.2879274,30341,chinese,$$,4.0
37,Hop Shing,Atlanta,33.8624265,-84.2881105,30345,chinese,$,4.0
38,BBQ Corner 2,Atlanta,33.8925134890166,-84.2849092656067,30340,chinese,$$,4.0
39,90 Kabob,Atlanta,33.8840478355957,-84.2873537912965,30341,chinese,$$,4.0
40,Man Chun Hong,Atlanta,33.9128292562414,-84.2619975283742,30340,chinese,$$,4.0
41,Hans,Atlanta,33.777105,-84.474263,30318,chinese,$,4.0
42,Yummy Spicy,Atlanta,33.89376,-84.28437,30340,chinese,$$,4.0
43,Northern China Eatery,Atlanta,33.89256,-84.2838,30340,chinese,$$,4.0
44,Tin Drum Asian Kitchen - Georgia Tech,Atlanta,33.7767118,-84.3897976,30308,chinese,$,3.0
45,Spicy GaGa Duck,Atlanta,33.89155,-84.28574,30340,chinese,$,4.0
