city,zipcode,population,per_capita_income,white,african_american,native_american,asian,native_hawaiian_pacific_islander,other_race,two_or_more_races,white_not_hispanic,hispanic_or_latino
Philadelphia,19102,4937.0,87197.0,3842.0,220.0,11.0,809.0,0.0,14.0,41.0,3583.0,259.0
Philadelphia,19103,24219.0,78815.0,18731.0,1499.0,72.0,2840.0,31.0,103.0,943.0,17468.0,1377.0
Philadelphia,19104,54311.0,15478.0,20419.0,22962.0,291.0,7662.0,62.0,838.0,2077.0,18782.0,2766.0
Philadelphia,19106,12375.0,82364.0,10179.0,1054.0,0.0,798.0,0.0,62.0,282.0,9495.0,797.0
Philadelphia,19107,13696.0,49131.0,8085.0,1117.0,73.0,3720.0,0.0,131.0,570.0,7600.0,703.0
Philadelphia,19111,68263.0,23668.0,36706.0,16409.0,465.0,6940.0,0.0,5537.0,2206.0,29834.0,13449.0
Philadelphia,19114,31736.0,30852.0,25581.0,3262.0,66.0,1284.0,23.0,1076.0,444.0,23991.0,2843.0
Philadelphia,19115,34479.0,31773.0,25168.0,3410.0,106.0,4475.0,57.0,510.0,753.0,23511.0,2593.0
Philadelphia,19116,34912.0,28115.0,24503.0,2101.0,148.0,5849.0,0.0,1218.0,1093.0,23286.0,2208.0
Philadelphia,19118,10919.0,57762.0,7556.0,2091.0,5.0,580.0,0.0,343.0,344.0,7149.0,756.0
Philadelphia,19119,29391.0,41118.0,9616.0,17207.0,108.0,567.0,0.0,288.0,1605.0,9199.0,855.0
Philadelphia,19120,74971.0,16576.0,12735.0,39072.0,548.0,8307.0,19.0,11444.0,2846.0,4526.0,23091.0
Philadelphia,19121,30733.0,15844.0,4606.0,23664.0,179.0,1210.0,95.0,600.0,379.0,4097.0,1946.0
Philadelphia,19122,22187.0,18983.0,9119.0,8403.0,49.0,1336.0,9.0,2090.0,1181.0,6148.0,6152.0
Philadelphia,19123,15681.0,50184.0,8496.0,4719.0,77.0,1190.0,0.0,380.0,819.0,7575.0,1626.0
Philadelphia,19124,68965.0,16653.0,20579.0,27752.0,395.0,3410.0,99.0,14500.0,2230.0,9692.0,28603.0
Philadelphia,19125,24674.0,35058.0,19811.0,1131.0,78.0,1607.0,0.0,1341.0,706.0,18439.0,3324.0
Philadelphia,19126,15863.0,23649.0,1073.0,13232.0,0.0,590.0,5.0,256.0,707.0,852.0,769.0
Philadelphia,19127,6082.0,40805.0,5186.0,569.0,6.0,83.0,0.0,70.0,168.0,4943.0,319.0
Philadelphia,19128,38309.0,39931.0,30433.0,4929.0,110.0,1082.0,28.0,451.0,1276.0,29456.0,1618.0
Philadelphia,19129,10640.0,39731.0,5707.0,3800.0,0.0,463.0,0.0,164.0,506.0,5525.0,381.0
Philadelphia,19130,27410.0,57421.0,18784.0,5096.0,61.0,2009.0,0.0,587.0,873.0,17881.0,1598.0
Philadelphia,19131,44972.0,20350.0,5336.0,36511.0,154.0,1563.0,0.0,574.0,834.0,4808.0,1442.0
Philadelphia,19132,32196.0,15255.0,1295.0,29758.0,86.0,368.0,0.0,251.0,438.0,1027.0,1028.0
Philadelphia,19133,27419.0,12499.0,8598.0,10584.0,156.0,339.0,0.0,7058.0,684.0,970.0,16091.0
Philadelphia,19134,61509.0,15616.0,34399.0,11200.0,517.0,1018.0,12.0,12095.0,2268.0,21554.0,28422.0
Philadelphia,19135,35302.0,20458.0,19768.0,8941.0,74.0,1605.0,0.0,3832.0,1082.0,16012.0,8265.0
