name,city,latitude,longitude,zipcode,ethnicity,price,rating
Nan Zhou Hand Drawn Noodle House,Philadelphia,39.9554005670665,-75.1569010985796,19107,chinese,$,4.0
Dim Sum Garden,Philadelphia,39.955399,-75.156727,19107,chinese,$,4.0
Chubby Cattle,Philadelphia,39.95498,-75.15622,19107,chinese,N/A,4.5
Dim Sum House,Philadelphia,39.9518854916096,-75.1724655926228,19103,chinese,$$,4.0
Dan Dan,Philadelphia,39.9502487182617,-75.167594909668,19102,chinese,$$,4.0
Heung Fa Chun Sweet House,Philadelphia,39.9539057451979,-75.1562611059858,19107,chinese,$,4.5
Sampan,Philadelphia,39.9495313759,-75.1621570259495,19107,chinese,$$,4.0
Jane G's Restaurant,Philadelphia,39.951841,-75.173328,19103,chinese,N/A,4.5
Han Dynasty,Philadelphia,39.9567105160991,-75.1971027810898,19104,chinese,$$,4.0
Nom Wah Philadelphia,Philadelphia,39.9565925598145,-75.160774230957,19107,chinese,$$,4.0
Sang Kee Peking Duck House,Philadelphia,39.95639,-75.15433,19107,chinese,$$,4.0
Lau Kee Restaurant,Philadelphia,39.95517,-75.15557,19107,chinese,N/A,4.5
Bing Bing Dim Sum,Philadelphia,39.9289513,-75.164711,19148,chinese,$$,4.0
Dim Sum House,Philadelphia,39.9557715,-75.2016544,19104,chinese,$$,4.0
Ting Wong Restaurant,Philadelphia,39.954754,-75.156191,19107,chinese,$,4.0
E Mei Restaurant,Philadelphia,39.95373,-75.15539,19107,chinese,$$,4.0
Hong Qi Gong,Philadelphia,39.9544401036752,-75.1542798802257,19107,chinese,N/A,4.0
Nine Ting,Philadelphia,39.955083683693,-75.1552917273078,19107,chinese,$$,4.0
Dim Sum & Noodle,Philadelphia,39.96204,-75.17222,19130,chinese,$$,4.0
Buddakan,Philadelphia,39.9489186,-75.1471667,19106,chinese,$$$,4.0
Hippot Shabu Shabu,Philadelphia,39.953486,-75.156575,19107,chinese,$$,3.5
Shing Kee,Philadelphia,39.935049,-75.154918,19147,chinese,$$,4.0
New Phnom Penh,Philadelphia,39.9202842712402,-75.1585540771484,19148,chinese,$,4.0
Siu Kee Duck House,Philadelphia,39.9539,-75.15603,19107,chinese,$,4.0
Hai Tien Restaurant,Philadelphia,39.9383386111494,-75.1702273320272,19146,chinese,$,4.5
Shaxian Delicacies,Philadelphia,39.9539055255682,-75.1563203707337,19107,chinese,N/A,3.5
China House,Philadelphia,39.9185859,-75.1836863,19145,chinese,$,4.0
Ray's Café & Teahouse,Philadelphia,39.95461,-75.15424,19107,chinese,$$,4.5
Hok Heng,Philadelphia,39.9792,-75.16336,19121,chinese,N/A,4.5
Paradise Inn,Philadelphia,39.97407,-75.18127,19130,chinese,N/A,4.5
China House,Philadelphia,39.9786643981934,-75.1593627929688,19121,chinese,$,3.5
Taijiang Snackies,Philadelphia,39.9538131,-75.1563882,19107,chinese,$,4.5
Chinese Food Truck,Philadelphia,39.953528817734,-75.1698793758143,19103,chinese,N/A,3.5
Michael's Chinese Kitchen,Philadelphia,39.9347305,-75.1709137,19146,chinese,$,4.0
Xi'an Sizzling Woks,Philadelphia,39.9534173637242,-75.1549591086789,19107,chinese,$$,3.5
China Star,Philadelphia,39.977976,-75.158113,19121,chinese,$$,3.5
Lee's Kitchen,Philadelphia,39.97408,-75.18382,19130,chinese,$,3.5
Chopsey - Pan Asian Kitchen,Philadelphia,39.9517805,-75.17291519999999,19103,chinese,N/A,1.0
Chushang Spicy,Philadelphia,39.95379,-75.15583,19107,chinese,$$,3.0
The Chinese Noodle Factory,Philadelphia,39.95492,-75.15735,19107,chinese,$,4.5
Ruby Buffet,Philadelphia,39.93202,-75.14464,19147,chinese,$$,3.0
China King,Philadelphia,39.9532775878906,-75.1555786132812,19107,chinese,$,4.5
Square on Square,Philadelphia,39.948333,-75.174521,19103,chinese,$$,3.5
Jin Wei,Philadelphia,39.95549,-75.1551999,19107,chinese,$,3.5
Pei Wei,Philadelphia,39.952141,-75.158537,19107,chinese,N/A,1.5
Far East Chinese Cuisine,Philadelphia,40.019693,-75.174273,19144,chinese,N/A,4.5
Lucky Restaurant,Philadelphia,39.9704811270836,-75.1503968444472,19123,chinese,N/A,4.0
